Compartment,Flow,CAS,openLCA Flow name,Unnamed: 7,UUID,kg CO2 eq / kg,kg SO2 eq / kg,kg PM2.5 eq / kg,kg N eq / kg,kg CFC-11 eq / kg,kg O3 eq / kg,CTUcancer / kg,CTUnoncancer / kg,CTUeco / kg,Unnamed: 18,Unnamed: 19,Converted to Number Values,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,20 years,100 years,20 years.1,100 years.1,100 years.2,Unnamed: 35,Unnamed: 36,Category,UUID.1,HTCP,HTNCP,ETP,Category.1,UUID.2,HTCP.1,HTNCP.1,ETP.1,Category.2,UUID.3,HTCP.2,HTNCP.2,ETP.2
air,Carbon dioxide,_124389,Carbon dioxide,Elementary flows/Emission to air/unspecified,7ae371aa-8532-11e0-9d78-0800200c9a66,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,,,Elementary flows/Emission to air/unspecified,7ae371aa-8532-11e0-9d78-0800200c9a66,,,,Elementary flows/Emission to air/high population density,643975a8-03da-44bb-873f-4fe8e7740fe6,,,,Elementary flows/Emission to air/low population density,7ae371a9-8532-11e0-9d78-0800200c9a66,,,
air,Methane,_74828,Methane,Elementary flows/Emission to air/unspecified,20408dd1-8534-11e0-9d78-0800200c9a66,30.0,0.0,0.0,0.0,0.0,0.014379487179487182,,,,,,30.0,0.0,0.0,0.0,0.0,0.014379487179487182,0.0,0.0,0.0,,72.0,25.0,85.0,30.0,36.0,,,Elementary flows/Emission to air/unspecified,20408dd1-8534-11e0-9d78-0800200c9a66,,,,Elementary flows/Emission to air/high population density,77dbd17a-5dac-4f22-a84c-1c4ca85af978,,,,Elementary flows/Emission to air/low population density,20408dd0-8534-11e0-9d78-0800200c9a66,,,
air,Nitrous oxide,_10024972,Dinitrogen monoxide,Elementary flows/Emission to air/unspecified,20185046-64bb-4c09-a8e7-e8a9e144ca98,265.0,0.0,0.0,0.0,0.0,0.0,,,,,,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,289.0,298.0,264.0,265.0,298.0,,,Elementary flows/Emission to air/unspecified,20185046-64bb-4c09-a8e7-e8a9e144ca98,,,,Elementary flows/Emission to air/high population density,6dc1b46f-ee89-4495-95c4-b8a637bcd6cb,,,,Elementary flows/Emission to air/low population density,afd6d670-bbb0-4625-9730-04088a5b035e,,,
air,carbon monoxide,_630080,Carbon monoxide,Elementary flows/Emission to air/unspecified,7ae371ac-8532-11e0-9d78-0800200c9a66,0.0,0.0,0.00035555555555555557,0.0,0.0,0.05562230769230769,,,,,,0.0,0.0,0.00035555555555555557,0.0,0.0,0.05562230769230769,0.0,0.0,0.0,,,,,,,,,Elementary flows/Emission to air/unspecified,7ae371ac-8532-11e0-9d78-0800200c9a66,,,,Elementary flows/Emission to air/high population density,620bc2f6-cf71-4dde-bba9-c6e8fdec5e23,,,,Elementary flows/Emission to air/low population density,7ae371ab-8532-11e0-9d78-0800200c9a66,,,
air,nitrogen oxides,_NOX,nitrogen oxides,Elementary flows/Emission to air/unspecified,c1b91234-6f24-417b-8309-46111d09c457,0.0,0.7,0.007222222222222222,0.04429,0.0,24.793589743589738,,,,,,0.0,0.7,0.007222222222222222,0.04429,0.0,24.793589743589738,0.0,0.0,0.0,,,,,,,,,Elementary flows/Emission to air/unspecified,c1b91234-6f24-417b-8309-46111d09c457,,,,Elementary flows/Emission to air/high population density,d068f3e2-b033-417b-a359-ca4f25da9731,,,,Elementary flows/Emission to air/low population density,77357947-ccc5-438e-9996-95e65e1e1bce,,,
air,sulfur dioxide,_7446095,Sulfur dioxide,Elementary flows/Emission to air/unspecified,fd7aa71c-508c-480d-81a6-8052aad92646,0.0,1.0,0.06111111111111111,0.0,0.0,0.0,,,,,,0.0,1.0,0.06111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Elementary flows/Emission to air/unspecified,fd7aa71c-508c-480d-81a6-8052aad92646,,,,Elementary flows/Emission to air/high population density,8c52f40c-69b7-4538-8923-b371523c71f5,,,,Elementary flows/Emission to air/low population density,78c3efe4-421c-4d30-82e4-b97ac5124993,,,
air,"particulates, < 2.5 um",_PM2.5,"particulates, < 2.5 um",Elementary flows/Emission to air/unspecified,21e46cb8-6233-4c99-bac3-c41d2ab99498,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Elementary flows/Emission to air/unspecified,21e46cb8-6233-4c99-bac3-c41d2ab99498,,,,Elementary flows/Emission to air/high population density,230d8a0a-517c-43fe-8357-1818dd12997a,,,,Elementary flows/Emission to air/low population density,66f50b33-fd62-4fdd-a373-c5b0de7de00d,,,
air,"particulates, < 10 um, > 2.5 um",_PM10-2.5,"Particulates, < 10 um",Elementary flows/Emission to air/unspecified,08a91e70-3ddc-11dd-91be-0050c2490048,0.0,0.0,0.22777777777777777,0.0,0.0,0.0,,,,,,0.0,0.0,0.22777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Elementary flows/Emission to air/unspecified,08a91e70-3ddc-11dd-91be-0050c2490048,,,,Elementary flows/Emission to air/high population density,32295152-7da7-47cb-b4a2-60ca4f246a80,,,,Elementary flows/Emission to air/low population density,d42f8d08-08f6-42ef-ae04-dc2025462880,,,
air,"VOC, volatile organic compounds",_VOC,"VOC, volatile organic compounds, unspecified origin",Elementary flows/Emission to air/unspecified,a028e2af-de2b-4e29-9d6b-a56d6a50f10f,0.0,0.0,0.0,0.0,0.0,3.59535897435897,,,,,,0.0,0.0,0.0,0.0,0.0,3.59535897435897,0.0,0.0,0.0,,,,,,,,,Elementary flows/Emission to air/unspecified,a028e2af-de2b-4e29-9d6b-a56d6a50f10f,,,,Elementary flows/Emission to air/high population density,75916a3a-6831-452a-940e-39492ce15941,,,,Elementary flows/Emission to air/low population density,b31216a0-7868-4dd4-b178-9ab1cbfcfeb5,,,
air,antimony,_7440360,Antimony,Elementary flows/Emission to air/unspecified,77927dac-dea3-429d-a434-d5a71d92c4f7,0.0,0.0,0.0,0.0,0.0,0.0,,0.00017053907944465218,491.03603402642364,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017053907944465218,491.03603402642364,,,,,,,,,Elementary flows/Emission to air/unspecified,77927dac-dea3-429d-a434-d5a71d92c4f7,,0.00017053907944465218,491.03603402642364,Elementary flows/Emission to air/high population density,3ea5684a-6d64-4f96-8c09-1d90f997c9d4,,0.0001865653238287938,489.0222774931665,Elementary flows/Emission to air/low population density,43b29ad9-26dd-4838-b931-6216e55a0120,,0.00015451283506051055,493.04979055968073
